cluster1,cluster2,rmsd
clusters/cluster-2.xyz,clusters/cluster-65.xyz,4.327761383373137
clusters/cluster-2.xyz,clusters/cluster-66.xyz,4.740828482215068
clusters/cluster-2.xyz,clusters/cluster-67.xyz,5.262916525232151
clusters/cluster-2.xyz,clusters/cluster-68.xyz,4.903126613530939
clusters/cluster-2.xyz,clusters/cluster-69.xyz,4.847069207971088
clusters/cluster-2.xyz,clusters/cluster-70.xyz,5.3970879520301835
clusters/cluster-2.xyz,clusters/cluster-71.xyz,3.8903102030528043
clusters/cluster-2.xyz,clusters/cluster-72.xyz,4.893417669021967
clusters/cluster-2.xyz,clusters/cluster-73.xyz,5.670086691766873
clusters/cluster-2.xyz,clusters/cluster-74.xyz,5.21539862984943
clusters/cluster-2.xyz,clusters/cluster-75.xyz,4.719287787095315
clusters/cluster-2.xyz,clusters/cluster-76.xyz,5.240418473821266
clusters/cluster-2.xyz,clusters/cluster-77.xyz,4.604314727004407
clusters/cluster-2.xyz,clusters/cluster-78.xyz,5.33529243492934
clusters/cluster-2.xyz,clusters/cluster-79.xyz,5.101242381652344
clusters/cluster-2.xyz,clusters/cluster-80.xyz,4.55517338364657
clusters/cluster-2.xyz,clusters/cluster-81.xyz,5.052492738614564
clusters/cluster-2.xyz,clusters/cluster-82.xyz,3.437846111266831
clusters/cluster-2.xyz,clusters/cluster-83.xyz,5.450248280529642
clusters/cluster-2.xyz,clusters/cluster-84.xyz,4.451702434956268
clusters/cluster-2.xyz,clusters/cluster-85.xyz,4.630476795260532
clusters/cluster-2.xyz,clusters/cluster-86.xyz,5.03575120053332
clusters/cluster-2.xyz,clusters/cluster-87.xyz,5.3576998078364495
clusters/cluster-2.xyz,clusters/cluster-88.xyz,4.948983014174196
clusters/cluster-2.xyz,clusters/cluster-89.xyz,5.057637910759086
clusters/cluster-2.xyz,clusters/cluster-90.xyz,4.856766941195955
clusters/cluster-2.xyz,clusters/cluster-91.xyz,5.634627302621915
clusters/cluster-2.xyz,clusters/cluster-92.xyz,4.822464689265369
clusters/cluster-2.xyz,clusters/cluster-93.xyz,5.160109047425402
