cluster1,cluster2,rmsd,cluster_id
10,32,4.04640814381132,9
10,33,4.67220613954428,0
10,34,3.6937589988956914,5
10,35,4.595536519020199,0
10,36,4.063978958765063,9
10,37,4.709999436765901,4
10,38,3.706790887551722,5
10,39,4.507741172004456,0
10,40,4.668208249140805,0
10,41,4.746162185363835,4
10,42,3.948398122318335,1
10,43,4.489597505186773,7
10,44,4.810337533479734,4
10,45,3.869093959603534,1
10,46,4.742642458489934,4
10,47,4.263755025722531,3
11,0,4.727182004911649,4
11,1,4.130947128502648,9
11,2,3.9412570153512654,1
11,3,3.954853923046121,1
11,4,4.4730337312876935,7
11,5,4.040989851473388,9
11,6,4.0576971613442785,9
11,7,4.420621110261036,7
11,8,4.6102467520845485,0
11,9,3.6538051226321318,5
11,10,5.144171474680964,2
11,12,4.3335753000582065,3
11,13,4.847486558316755,4
11,14,5.011923171140926,6
11,15,4.617552146945205,0
11,16,5.128570560378424,6
11,17,3.5223059177250877,5
11,18,4.644806505044887,0
11,19,4.348060739292835,7
11,20,4.880098389334905,4
11,21,4.359470895838622,7
11,22,4.704543053337722,4
11,23,4.563115466672106,0
11,24,4.512288282841111,0
11,25,4.531268193708919,0
11,26,4.17526407895011,3
11,27,4.945859999531867,6
11,28,4.7738419101349745,4
11,29,3.9165080231120655,1
11,30,3.7789224566836204,1
11,31,4.761708518849263,4
11,32,4.3480118199956665,7
11,33,4.527011912341367,0
11,34,5.198408924124559,2
11,35,3.753483646915288,5
11,36,4.9324710262858185,6
11,37,4.5459550247734155,0
11,38,4.804647277351059,4
11,39,5.053024123150212,6
11,40,4.2690177950963095,3
11,41,4.240388552328298,3
11,42,4.825684590746177,4
11,43,4.547405807781213,0
11,44,4.617158463525331,0
11,45,4.267892042558405,3
11,46,4.222953814872338,3
11,47,4.515211491238442,0
12,0,4.551140686519255,0
12,1,4.350872986138147,7
12,2,4.230222200772338,3
12,3,4.980374961944309,6
12,4,4.619565241676222,0
12,5,4.330560610494869,3
12,6,4.881724028340893,4
12,7,4.4941478294184805,7
12,8,4.916372586277543,6
12,9,4.4338009098758135,7
12,10,4.503355327970024,0
12,11,4.3335753000582065,3
12,13,3.9584350048230665,1
12,14,4.734959213130252,4
12,15,4.316329801749578,3
12,16,4.556751857352793,0
12,17,4.35062654873422,7
12,18,4.492888670052081,7
12,19,3.825169520001916,1
12,20,4.059805111857006,9
12,21,3.9458247452607145,1
12,22,4.4439281007247535,7
12,23,4.268993368526127,3
12,24,3.894076567958652,1
12,25,4.273645569394988,3
12,26,4.635983177931205,0
12,27,4.087666175941783,9
12,28,4.085302822791608,9
12,29,4.230904324732906,3
12,30,4.070160508694088,9
12,31,3.992805813591346,1
12,32,4.439576186800641,7
12,33,4.589969130825758,0
12,34,4.417680462479732,7
12,35,4.48525037738042,7
12,36,5.0782926253102865,6
12,37,5.05764929905597,6
12,38,4.230819707489801,3
12,39,4.509050385638232,0
12,40,4.114749486810805,9
12,41,4.324674090987731,3
12,42,4.330564529608966,3
12,43,4.316094463992779,3
12,44,4.0499183683012685,9
12,45,3.680591445570565,5
12,46,4.316666346922679,3
12,47,4.748687310742284,4
13,0,4.0415519327247456,9
13,1,5.088719930940189,6
13,2,5.033609987729946,6
13,3,5.212585655437247,2
13,4,4.793644436372417,4
13,5,4.374443671488551,7
13,6,4.751867242052719,4
13,7,5.2265073084163625,2
13,8,4.988910309507792,6
13,9,4.061045928817445,9
13,10,5.009829702551702,6
13,11,4.847486558316756,4
13,12,3.9584350048230657,1
13,14,4.6687781213975965,0
13,15,4.710826333316736,4
13,16,3.961859655696137,1
13,17,4.583431209509897,0
13,18,4.467574148662316,7
13,19,3.6007150736910534,5
13,20,4.2214261565889215,3
13,21,4.275977673644961,3
13,22,4.908305577742602,6
13,23,4.513094501254336,0
13,24,4.527952326467734,0
13,25,4.56993946304546,0
13,26,5.6848169266915765,2
13,27,4.273464505038652,3
13,28,3.3321942167218355,8
13,29,4.912713394440161,6
13,30,4.63886893527053,0
13,31,3.5016279509485364,5
13,32,4.065223398476369,9
13,33,3.8927852905488236,1
13,34,4.637826434114307,0
13,35,4.415352588703231,7
13,36,4.840953689379583,4
13,37,5.046220436411988,6
13,38,4.473036036561132,7
13,39,5.1369187894579715,2
13,40,4.6240798056150565,0
13,41,4.425149817095932,7
13,42,4.7539370944545585,4
13,43,4.4393203921832445,7
13,44,3.4279853371380047,5
13,45,3.9005942535409055,1
13,46,4.481278797406107,7
